Código;Ação;Tipo;Qtde. Teórica;Part. (%)
BEEF3;MINERVA;ON      NM;261.359.935;0,062;
MRVE3;MRV;ON      NM;377.241.484;0,103;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,346;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,060;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,527;
PETR4;PETROBRAS;PN      N2;4.431.132.660;8,106;
RECV3;PETRORECSA;ON      NM;275.170.410;0,214;
PRIO3;PETRORIO;ON      NM;779.999.989;1,569;
PETZ3;PETZ;ON      NM;293.689.428;0,065;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,363;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,288;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,111;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,561;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,107;
SBSP3;SABESP;ON      NM;683.508.568;3,207;
SANB11;SANTANDER BR;UNT;356.586.730;0,450;
STBP3;SANTOS BRP;ON      NM;855.712.622;0,549;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,139;
CSNA3;SID NACIONAL;ON;727.459.637;0,320;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,166;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,922;
TAEE11;TAESA;UNT     N2;218.568.234;0,357;
VIVT3;TELEF BRASIL;ON;382.442.128;0,962;
TIMS3;TIM;ON      NM;807.495.418;0,622;
TOTS3;TOTVS;ON      NM;540.206.440;0,903;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,890;
USIM5;USIMINAS;PNA     N1;515.193.199;0,139;
VALE3;VALE;ON      NM;4.270.903.023;11,294;
VAMO3;VAMOS;ON      NM;485.166.826;0,113;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,831;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,132;
WEGE3;WEG;ON      NM;1.243.177.587;3,269;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,139;
Quantidade Teórica Total;;;98.374.532.289;100,000
Redutor;;;16.273.763,11400699
